id,title,season_fit_5,impact_5,build_ease_5,viral_5,monetize_5,notes
01,年始メール定型メーカー,5,4,5,3,2,即効性が強い。配布→拡散は件名生成などでSNS向き
02,仕事始めToDo自動生成(ICS),4,4,3,3,2,カレンダー出力が便利。テンプレの質が価値
03,振り返り→職務経歴書材料抽出,4,5,3,3,4,価値大。LLM前提なら早いが個人情報配慮が必要
04,目標設定ジェネレータ(OKR/KPI),4,4,3,3,3,年初需要。差別化は質問設計
05,年末調整/確定申告チェックリスト,3,5,3,2,3,制度の正確性と免責表現が大事
06,ワンストップ漏れ検知,4,4,5,2,2,入力が軽いほど良い。事故回避で評価高
07,経費精算チャレンジ,4,3,5,3,2,ゲーミフィケーションで継続可能
10,Slack/Teamsの返し辞書,4,4,5,4,3,日常利用が見込める。拡張しやすい
13,睡眠リズム戻しコーチ,5,3,5,3,2,季節性の当たり。通知だけで成立
15,キャリア棚卸し質問ガチャ,4,3,5,3,2,暇つぶしとして強い。ログ蓄積で価値UP
20,GTD受信箱→30分で片付け,4,4,3,2,3,UXが命。軽量なら刺さる
21,業務日報ジェネレータ,3,4,5,3,3,通年で使える。企業内需要もある
22,言い換え辞典(ネガ→ポジ),3,3,5,3,2,軽いが差別化は工夫が必要
27,英語メール最短テンプレ,3,3,5,3,2,海外相手がある層に刺さる

